Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Sep  9 13:49:27 2016
Invocation: foremost fundelete.fat 
Output directory: /root/cyberstakes/for/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: fundelete.fat
Start: Fri Sep  9 13:49:27 2016
Length: 10 MB (10485760 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
48:	00000713.jpg 	       5 KB 	     365056 	 
49:	00000725.jpg 	       5 KB 	     371200 	 
50:	00000737.jpg 	       6 KB 	     377344 	 
51:	00000753.jpg 	       5 KB 	     385536 	 
52:	00000765.jpg 	       5 KB 	     391680 	 
53:	00000777.jpg 	       6 KB 	     397824 	 
54:	00000793.jpg 	       5 KB 	     406016 	 
55:	00000805.jpg 	       6 KB 	     412160 	 
56:	00000821.jpg 	       6 KB 	     420352 	 
57:	00000837.jpg 	       5 KB 	     428544 	 
58:	00000849.jpg 	       4 KB 	     434688 	 
59:	00000861.jpg 	       5 KB 	     440832 	 
60:	00000873.jpg 	       5 KB 	     446976 	 
61:	00000885.jpg 	       6 KB 	     453120 	 
62:	00000901.jpg 	       5 KB 	     461312 	 
63:	00000917.jpg 	       6 KB 	     469504 	 
64:	00000933.jpg 	       5 KB 	     477696 	 
65:	00000945.jpg 	       5 KB 	     483840 	 
66:	00000957.jpg 	       6 KB 	     489984 	 
67:	00000973.jpg 	       5 KB 	     498176 	 
68:	00000985.jpg 	       5 KB 	     504320 	 
69:	00000997.jpg 	       5 KB 	     510464 	 
70:	00001009.jpg 	       5 KB 	     516608 	 
71:	00001021.jpg 	       6 KB 	     522752 	 
72:	00001037.jpg 	       5 KB 	     530944 	 
73:	00001049.jpg 	       5 KB 	     537088 	 
74:	00001061.jpg 	       5 KB 	     543232 	 
75:	00001073.jpg 	       6 KB 	     549376 	 
76:	00001089.jpg 	       5 KB 	     557568 	 
77:	00001101.jpg 	       5 KB 	     563712 	 
78:	00001113.jpg 	       5 KB 	     569856 	 
79:	00001125.jpg 	       6 KB 	     576000 	 
80:	00001141.jpg 	       6 KB 	     584192 	 
81:	00001157.jpg 	       5 KB 	     592384 	 
82:	00001169.jpg 	       6 KB 	     598528 	 
83:	00001185.jpg 	       5 KB 	     606720 	 
84:	00001197.jpg 	       5 KB 	     612864 	 
85:	00001209.jpg 	       5 KB 	     619008 	 
86:	00001221.jpg 	       5 KB 	     625152 	 
87:	00001233.jpg 	       5 KB 	     631296 	 
88:	00001245.jpg 	       5 KB 	     637440 	 
89:	00001257.jpg 	       5 KB 	     643584 	 
90:	00001269.jpg 	       5 KB 	     649728 	 
91:	00001281.jpg 	       5 KB 	     655872 	 
92:	00001293.jpg 	       5 KB 	     662016 	 
93:	00001305.jpg 	       5 KB 	     668160 	 
94:	00001317.jpg 	       5 KB 	     674304 	 
95:	00001333.jpg 	       5 KB 	     682496 	 
96:	00001345.jpg 	       5 KB 	     688640 	 
97:	00001357.jpg 	       5 KB 	     694784 	 
98:	00001369.jpg 	       5 KB 	     700928 	 
99:	00001381.jpg 	       6 KB 	     707072 	 
100:	00001397.jpg 	       6 KB 	     715264 	 
101:	00001413.jpg 	       5 KB 	     723456 	 
102:	00001425.jpg 	       5 KB 	     729600 	 
103:	00001437.jpg 	       5 KB 	     735744 	 
104:	00001449.jpg 	       5 KB 	     741888 	 
105:	00001461.jpg 	       5 KB 	     748032 	 
106:	00001473.jpg 	       5 KB 	     754176 	 
107:	00001485.jpg 	       6 KB 	     760320 	 
108:	00001501.jpg 	       5 KB 	     768512 	 
109:	00001513.jpg 	       5 KB 	     774656 	 
110:	00001525.jpg 	       5 KB 	     780800 	 
111:	00001537.jpg 	       5 KB 	     786944 	 
112:	00001549.jpg 	       5 KB 	     793088 	 
113:	00001561.jpg 	       6 KB 	     799232 	 
114:	00001577.jpg 	       5 KB 	     807424 	 
115:	00001589.jpg 	       4 KB 	     813568 	 
116:	00001601.jpg 	       6 KB 	     819712 	 
117:	00001617.jpg 	       6 KB 	     827904 	 
118:	00001633.jpg 	       5 KB 	     836096 	 
119:	00001645.jpg 	       5 KB 	     842240 	 
120:	00001657.jpg 	       5 KB 	     848384 	 
121:	00001669.jpg 	       5 KB 	     854528 	 
122:	00001681.jpg 	       6 KB 	     860672 	 
123:	00001697.jpg 	       5 KB 	     868864 	 
124:	00001709.jpg 	       5 KB 	     875008 	 
125:	00001721.jpg 	       6 KB 	     881152 	 
126:	00001737.jpg 	       6 KB 	     889344 	 
127:	00001757.jpg 	       5 KB 	     899584 	 
128:	00001769.jpg 	       6 KB 	     905728 	 
Finish: Fri Sep  9 13:49:28 2016

129 FILES EXTRACTED
	
jpg:= 129
------------------------------------------------------------------

Foremost finished at Fri Sep  9 13:49:28 2016
